pmid,title,year,doi,cost_savings,hospitalization_reduction,qol_improvement
41171627,Physician Perspectives on Home Health Implementation in South Korea: Challenges and Future Directions.,2025,10.1080/07370016.2025.2577887,,,
41167094,Home-based psychiatric hospitalization for children and adolescents during war times.,2025,10.1016/j.psychres.2025.116788,,91,
41160539,Evaluating the sustainability and long-term outcomes of the Home Care Support Intervention Program (HoSIP) to reduce loneliness among community-dwelling older adults: A two-year follow-up study.,2025,10.1371/journal.pone.0331987,,,
41149458,Parents' Experiences and Clinicians' Perceptions of Managing Cancer Pain in Young Children at Home.,2025,10.3390/curroncol32100538,,,
41143665,Bridging boundaries: a research consortium to advance hospital-at-home care delivery.,2025,10.37765/ajmc.2025.89809,,,
41136346,Quality-of-life factors at home and in health care settings for people living with dementia.,2025,10.1093/geront/gnaf196,,,
41136078,From Inpatient to Home: Optimizing Transitions of Care for Patients on Long-Term Noninvasive Ventilation.,2025,10.1016/j.jsmc.2025.07.013,,,
41131177,The Impact of Coping and Psychological Flexibility on Young Adult Caregivers' Mental Health and Quality of Life.,2025,10.1007/s11414-025-09976-w,,,
41127918,Home-based psilocybin-assisted therapy for a patient with advanced cancer: A case report.,2025,10.1017/S1478951525100941,,,
41106427,Comparing Post-Acute Care Outcomes Between Home Health Care and Skilled Nursing Facilities: A Scoping Review.,2025,10.1016/j.jamda.2025.105926,,,
41101957,Examining the implementation of home-based palliative care for patients with end-stage liver disease (HoPE): a protocol for a feasibility study.,2025,10.1136/bmjopen-2025-103784,,,
41094360,Utilization of dental services of older persons after onset of home care --- an observational study from the InSEMaP research project based on German insurance claims data.,2025,10.1186/s12877-025-06420-8,,,
41089208,Rehabilitation Priorities and Employment Reintegration Among Individuals with Spinal Cord Injury Receiving Home-Based Care: A National Cross-Sectional Survey of Functional and Social Determinants.,2025,10.2147/PPA.S535765,,,
41083931,Understanding the patients' experience in Primary Technology Enhanced Care Home HbA1c Testing (PTEC HAT) programme-a qualitative study.,2025,10.1186/s12875-025-03034-2,,,
