pmid,title,year,doi,cost,efficacy,coverage
41176315,"Chimeric antigen receptor (CAR) T-cell therapy for glioblastoma (GBM): current clinical insights, challenges, and future directions.",2025,10.1136/jitc-2025-012308,,,
41167207,"Vaccine effectiveness of a bivalent respiratory syncytial virus (RSV) pre-F vaccine against RSV-associated hospital admission among adults aged 75-79 years in England: a multicentre, test-negative, case-control study.",2025,10.1016/S1473-3099(25)00546-8,,,
41166903,"Qualitative insights into vaccine hesitancy among striped catfish (Pangasianodon hypophthalmus) farmers in the Mekong Delta, Vietnam.",2025,10.1016/j.prevetmed.2025.106730,,,
41166720,Effect of Prior 9-Valent Human Papillomavirus Vaccination on Subsequent Lower Genital Tract Dysplasia After Cervical Excisional Surgery.,2025,10.1097/AOG.0000000000006113,,,
41161728,Rumors and fears about the HPV vaccine: Perceptions of adolescent girls in government school in Addis Ababa.,2025,10.1080/21645515.2025.2578894,,,
41158101,HPV vaccination efficacy in primary and tertiary prevention of vulvar and vaginal HPV-related high grade dysplasia and cancers: A systematic review.,2025,10.1080/21645515.2025.2567704,,100,
41156654,Human Papillomavirus: An Old New History.,2025,10.3390/pathogens14101043,,,
41148640,"Knowledge, Attitudes, and Practices Associated with Human Papillomavirus Vaccine Recommendation Among Healthcare Professionals: A Cross-Sectional Study.",2025,10.3390/idr17050126,,,
41148592,Barriers to HPV Vaccination in Brazil: A Systematic Review.,2025,10.31557/APJCP.2025.26.10.3549,,,90
41148008,Impact of a shared medical decision-making aid on patient decisional conflict regarding human papillomavirus vaccination: a mixed-methods study.,2025,10.1093/fampra/cmaf077,,,
41143859,Boosting Human Papillomavirus Vaccination Rates: Protocol for a Randomized Controlled Trial of Awareness Interventions in Réunion Island.,2025,10.2196/73366,,16,
41142393,Reprogramming chemically induced dimerization systems with genetically encoded nanobodies.,2025,10.1039/d5sc05703e,,,
41141875,Human Papillomavirus (HPV) and HPV Vaccine Awareness Among U.S. Adults With Depression and Anxiety: A Nationally Representative Analysis Using Health Information National Trends Survey (HINTS) Data.,2025,10.7759/cureus.95218,,,64.1
41141177,Human Papillomavirus (HPV) Vaccine Utilization and Its Determinants Among Adolescents in the United Arab Emirates (UAE): A Review.,2025,10.7759/cureus.93179,,,90
41138225,Human papillomavirus vaccine uptake in ethnically diverse women living with systemic lupus erythematosus.,2025,10.1177/09612033251390599,,,27
41137859,Economic evaluation of a bivalent respiratory syncytial virus prefusion F vaccine for older adults in Sweden: cost-effectiveness and budget impact.,2025,10.1080/13696998.2025.2580785,,,
